go run cmd/api/main.go
2026/02/22 23:37:49 Server starting on port 8080
2026/02/22 23:37:59 Login error: Error 1054 (42S22): Unknown column 'avatar_url' in 'field list'
2026/02/22 23:37:59 "POST http://localhost:8080/login HTTP/1.1" from [::1]:57093 - 500 22B in 3.732125ms
2026/02/22 23:38:30 "POST http://localhost:8080/login HTTP/1.1" from [::1]:57259 - 401 20B in 2.255583ms
2026/02/22 23:38:38 "POST http://localhost:8080/login HTTP/1.1" from [::1]:57300 - 401 20B in 2.154958ms
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/login HTTP/1.1" from [::1]:58215 - 200 0B in 70.166µs
2026/02/22 23:41:31 "POST http://localhost:8080/login HTTP/1.1" from [::1]:58215 - 200 204B in 96.21575ms
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/me HTTP/1.1" from [::1]:58215 - 200 0B in 15.375µs
2026/02/22 23:41:31 "GET http://localhost:8080/me HTTP/1.1" from [::1]:58215 - 200 212B in 7.457834ms
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/api/notifications/unread-count HTTP/1.1" from [::1]:58215 - 200 0B in 7.625µs
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/api/my-attendance/summary HTTP/1.1" from [::1]:58217 - 200 0B in 4.334µs
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/api/messages/unread-count HTTP/1.1" from [::1]:58216 - 200 0B in 5.167µs
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/api/announcements HTTP/1.1" from [::1]:58218 - 200 0B in 2.875µs
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/api/assignments HTTP/1.1" from [::1]:58220 - 200 0B in 3.459µs
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/api/notifications HTTP/1.1" from [::1]:58219 - 200 0B in 5.208µs
2026/02/22 23:41:31 "OPTIONS http://localhost:8080/api/my-enrollments HTTP/1.1" from [::1]:58215 - 200 0B in 3µs
2026/02/22 23:41:31 "GET http://localhost:8080/api/assignments HTTP/1.1" from [::1]:58219 - 404 19B in 8.083µs
2026/02/22 23:41:31 "GET http://localhost:8080/api/notifications/unread-count HTTP/1.1" from [::1]:58216 - 200 12B in 50.792792ms
2026/02/22 23:41:31 "GET http://localhost:8080/api/notifications HTTP/1.1" from [::1]:58218 - 200 439B in 48.42425ms
2026/02/22 23:41:31 "GET http://localhost:8080/api/messages/unread-count HTTP/1.1" from [::1]:58220 - 200 12B in 54.409209ms
2026/02/22 23:41:31 "GET http://localhost:8080/api/announcements HTTP/1.1" from [::1]:58215 - 200 1436B in 53.554959ms
2026/02/22 23:41:31 "GET http://localhost:8080/api/my-attendance/summary HTTP/1.1" from [::1]:58217 - 200 306B in 55.72475ms
2026/02/22 23:41:31 "GET http://localhost:8080/api/my-enrollments HTTP/1.1" from [::1]:58219 - 200 2643B in 56.428167ms
2026/02/22 23:41:32 "GET http://localhost:8080/api/assignments HTTP/1.1" from [::1]:58219 - 404 19B in 88.333µs
2026/02/22 23:41:34 "GET http://localhost:8080/api/assignments HTTP/1.1" from [::1]:58219 - 404 19B in 19.875µs
2026/02/22 23:41:46 "GET http://localhost:8080/api/messages/unread-count HTTP/1.1" from [::1]:58219 - 200 12B in 7.451875ms
2026/02/22 23:41:48 "OPTIONS http://localhost:8080/me/avatar HTTP/1.1" from [::1]:58219 - 200 0B in 48.042µs
2026/02/22 23:41:48 "PUT http://localhost:8080/me/avatar HTTP/1.1" from [::1]:58219 - 200 0B in 10.642916ms
2026/02/22 23:41:58 "OPTIONS http://localhost:8080/me HTTP/1.1" from [::1]:58219 - 200 0B in 38.875µs
2026/02/22 23:41:58 "PUT http://localhost:8080/me HTTP/1.1" from [::1]:58219 - 200 383B in 11.662459ms
2026/02/22 23:42:00 "GET http://localhost:8080/api/messages/unread-count HTTP/1.1" from [::1]:58217 - 200 12B in 3.707417ms
2026/02/22 23:42:00 "GET http://localhost:8080/api/notifications/unread-count HTTP/1.1" from [::1]:58219 - 200 12B in 4.139542ms
2026/02/22 23:42:00 "GET http://localhost:8080/me HTTP/1.1" from [::1]:58215 - 200 383B in 5.13575ms
2026/02/22 23:42:00 "GET http://localhost:8080/me HTTP/1.1" from [::1]:58219 - 200 383B in 1.217375ms
2026/02/22 23:42:15 "GET http://localhost:8080/api/messages/unread-count HTTP/1.1" from [::1]:58219 - 200 12B in 9.257666ms
2026/02/22 23:42:30 "GET http://localhost:8080/api/notifications/unread-count HTTP/1.1" from [::1]:58219 - 200 12B in 3.576167ms
2026/02/22 23:42:30 "GET http://localhost:8080/api/messages/unread-count HTTP/1.1" from [::1]:58219 - 200 12B in 2.853042ms
signal: killed
make: *** [run-api] Error 1
2026/02/22 23:46:55 Server starting on port 8080
